fleuve, rivière;река 
éducation;образования
looks like;похоже
Père;патер
and;причем
assez;достаточно 
tapis;ковер 
peur;страх 
colère;гнев 
problem, issue;выпуск
dommage !;жаль 
awesome;здорово  
c'est sûr !;Это точно
ici;тут 
complètement (+adj);совершенно
anniversaire;день рождения 
en génaral;вообще
annoy;раздражать
caractère;характер 
contacts (avec),  relation;отношения
it is time (for …);(datif) пора
oh my god;Боже мой 
le ménage;уборку
supporter;терпеть 
nettoyer;убираться 
chambre;номер
partager;делить
chemin;путь
bienvenu;добро пожаловать 
a little bit ;чуть-чуть
apparence (physique);внешность
vouloir dire (mean);иметь в виду
sens de l'humour;Чувствo юмора 
most important thing;самое главное
lose;проигрывать
