family;семья
mother;мать
father;отец
brother;брат
sister;сестра
son;сын
daughter;дочь
uncle;дядя
aunt;тетя
nephew;племянник
niece;племянница
grandmother;бабушка
grandfather;дедушка
cousin;кузен
cousine;кузина 
godfather;крестный (отец)
godmother;крестная (мама)
friend;друг
friend (boy);дружок
friend (girl);Подруга 
guy;парень 
children;дети 
parents;родители 
personne agée;пожилой человек
bébé;детка 
young boy;мальчик  
young girl;девочка  
young woman;девушка  
man;мужчина  
woman;женщина  
husband;муж
wife;жена 
person;человек  
adult;взрослый  
