be late;Опаздывать
moment;момент 
be on time;быть вовремя
be in advance;быть рано
often;часто
a little;немного 
a few;немного
extremely;крайне
extremely;чрезвычайно
trop;слишком
not at all;вовсе нет
not at all;не за что (/de rien aussi)
fortunately;к счастью
unfortunately;К сожалению
tard;поздно 
never;никогда
seldom;редко
sometimes;иногда
if;если
Donc, c'est pourquoi;поэтому 
parce que;потому 
again, other, else;еще
otherwise, if not;иначе 
otherwise;в противном случае
neither;ни
also;также, тоже
also not (non plus);также/тоже нет 
for instance;например 
me too;я тоже
no longer;больше нет 
already;уже
pour le moment;пока
pendant que, tandis que;пока
whereas;тогда как / в то время как 
déjà, encore;всё ещё
pour l'instant;до сих пор
même si;даже если
bien que, alors que;хотя 
bien que;если бы даже 
at least;по меньшей мере
at least;по крайней мере
once again;ещё раз
three times;три раза
five times;пять раз
without;без
with;с
for;для
from;из
jusqu'à;от 
à partir de;до
no matter;не важно 
no matter, everything ok;все равно (égal)
également, de même;равно
after;после
except;Кроме
around;вокруг
more and more;всё больше и больше
other;Другие
another one;Ещё один
difference;разница 
environ;около 
presque;почти 
à peine;едва 
then;затем
then;тогда
then, after;потом 
before;перед 
okay, bien;ладно 
right !;право
