witness (nom);Свидетель;
at least ;По меньшей мере ;
measure ;мере ;
situation;ситуация ;
conditions critiques;Критическое состояние ;
crowd;толпа ;
dire la vérité;говорить правду;
communication ;сообщение ;
international;международный ;
compétition;соревнование ;
seulement;лишь;
thème;Тема ;
responsibility;ответственность;
de notre point de vue; с нашей точки;
moon;Луна ;
main, principal, home;Главная ;
étoile;звезда ;
changement;изменение;
évolution;эволюция;
development;развитие;
transformation;преобразование ;
leçon;урока;
the most + adj;самый ;
really;Неужели ;
confortable;удобный  ;комфортный
inconfortable;неудобный ;
commun, partagé;общий ;
conversation;разговора;
a pu (=passé);могл(а) ;
cadeau;подарок;
exactly;Вот вот ;
comprendre, se rendre compte;понять;
lunettes;очки ;
one half;одна половина;
one third;одна треть;
one quarter;одна четверть ;
à pied;пешком ;
dieu;бог ;
il pleut;идет дождь ;
rêve;мечта;
arme;оружие ;
pistolet;пистолет ;
gants;перчатки;
casquette;кепка;
lunettes de soleil;солнечные очки ;
équipe;команда ;
