lawyer ;адвокат 
actor ;актёр 
actress ;актриса 
architect ;архитектор 
barman ;бармен 
librarian ;библиотекарь 
businessman ;бизнесмен 
biologist ;биолог 
doctor, physician ;врач 
doctor ;доктор 
designer ;дизайнер 
diplomat ;дипломат 
journalist ;журналист 
composer ;композитор 
engineer ;инженер 
manager ;менеджер 
mechanic ;механик 
musician ;музыкант 
fashion-designer ;модельер 
economist ;экономист 
mayor;мэр
writer ;писатель 
politician ;политик 
poet ;поэт 
programmer ;программист 
professor ;профессор 
sportsman ;спортсмен 
student ;студент 
farmer ;фермер 
physicist ;физик 
chemist ;химик 
secretary ;секретарь 
libraire;бухгалтер 
military ;военные
waiter ;официант 
waitress ;официантка 
singer ;певец 
interpreter ;переводчик 
artist ;художник 
schoolboy ;школьник 
teacher ;учитель 
employee, office worker ;служащий 
worker ;рабочий 
seller;продавец 
pilot ;лётчик 
