dans, vers;в
sur, vers;на
à (l'étranger), en (1min), pour (valeur, cause);за
à travers, dans (temps);через
chez, près, possession;у
près de;около
le long, devant;мимо
venant de, en (métal);из
venant de;с
from;от
before;до
after;послe
without;без
parmi;среди
for;для
against;против
in front of;напротив
autour de;вокруг
sauf;кроме
à cause de;из-за
chez, vers;к
le long de, au moyen de;по 
avec;с
derriere, au delà (etranger);за
au-dessus de;над
under;под
in front of;перед
between ;между
à, en (avril);в
à, en, cette (semaine/mois);на
au sujet de;о
du temps de;при
